generalized_domain,domain_A_queries,domain_AAAA_queries,company,Num,Domain,search_pattern,domain_CNAME_queries,searched_correctly
iot-mqtts.cn-south-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-south-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-south-1.myhuaweicloud.com./CNAME,
iot-mqtts.cn-south-2.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-south-2.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-south-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-south-2.myhuaweicloud.com./CNAME,
iot-mqtts.sa-argentina-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.sa-argentina-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.sa-argentina-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.sa-argentina-1.myhuaweicloud.com./CNAME,
iot-mqtts.sa-peru-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.sa-peru-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.sa-peru-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.sa-peru-1.myhuaweicloud.com./CNAME,
iot-mqtts.la-south-2.myhuaweicloud.com.,rrset/name/*.iot-mqtts.la-south-2.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.la-south-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.la-south-2.myhuaweicloud.com./CNAME,
iot-mqtts.sa-chile-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.sa-chile-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.sa-chile-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.sa-chile-1.myhuaweicloud.com./CNAME,
iot-mqtts.na-mexico-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.na-mexico-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.na-mexico-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.na-mexico-1.myhuaweicloud.com./CNAME,
iot-mqtts.sa-brazil-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.sa-brazil-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.sa-brazil-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.sa-brazil-1.myhuaweicloud.com./CNAME,
iot-mqtts.cn-southwest-2.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-southwest-2.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-southwest-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-southwest-2.myhuaweicloud.com./CNAME,
iot-mqtts.cn-southwest-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-southwest-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-southwest-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-southwest-1.myhuaweicloud.com./CNAME,
iot-mqtts.cn-north-4.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-north-4.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-north-4.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-north-4.myhuaweicloud.com./CNAME,
iot-mqtts.cn-north-2.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-north-2.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-north-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-north-2.myhuaweicloud.com./CNAME,
iot-mqtts.cn-north-3.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-north-3.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-north-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-north-3.myhuaweicloud.com./CNAME,
iot-mqtts.ru-northwest-2.myhuaweicloud.com.,rrset/name/*.iot-mqtts.ru-northwest-2.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.ru-northwest-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.ru-northwest-2.myhuaweicloud.com./CNAME,
iot-mqtts.ru-northwest-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.ru-northwest-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.ru-northwest-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.ru-northwest-1.myhuaweicloud.com./CNAME,
